ID,Wave,Wavedummy,province,district,region,resarea,resarearural,gender,age,agegroup,educstat,educstatgroup,hhsize,hhsizegroup,lifestyle,voteintparty,voteintakp,turnout,vote2015,vote2015akp,turnout2015,workstat,unemployed,selfprosper,socialsupport,supchildeduc,suphealth,suppreg,supsenior,supwidow,supdisable,supdinkind,supother,supreceive,akpchange,persfinance,crisis,hardship,retrospers,retrossocio,prospers,prossocio,headcover,ethnicity,ethnicdummy,religiosity,hhincome,minimumwage,loghhincome,hhincgroup,incomebrac,tvnews,ginip,sedip,ginir,sedir,gdpcap17,lngdpcap17,mosques,lnmosques,mosqdens,metro,residgroup,prospect,yenidene
642,032017,Post coup attempt,34,Beykoz,Istanbul,Metropolitan,Other,Male,51,44+ Years,High School,High School,4,3-5 Persons,Traditional Conservative,CHP,No,Yes,CHP,No,Yes,Tradesman,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,Decrease,Saving Money,No,No,Disagree,Agree,Disagree,Agree,No head cover,Turkish,Others,Believer,4000,More than minimum wage,8.2940493,3001-5000TL,Upper Class,Government affiliated,.39700001,10,.39700001,9.9457998,17827.424,9.7884932,3403,8.1324129,.226,No,Apartment,Very positive,More than minimum wage
643,032017,Post coup attempt,6,Mamak,West Anatolia,Metropolitan,Other,Male,54,44+ Years,University,University,,,Modern,CHP,No,Yes,CHP,No,Yes,Private Sector,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,No Change,Saving Money,Yes,Yes,Agree,Agree,Agree,Completely Agree,No head cover,Turkish,Others,Believer,6000,More than minimum wage,8.6995144,Higher than 5001TL,,Government affiliated,.382,7.1546001,.38600001,5.5275002,14253.082,9.5647287,3067,8.0284548,.56300002,No,Apartment,Negative,More than minimum wage
644,032017,Post coup attempt,6,Mamak,West Anatolia,Metropolitan,Other,Male,47,29-43 Years,University,University,,,Traditional Conservative,HDP,No,Yes,HDP,No,Yes,Private Sector,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,No Change,Making Ends Meet,No,No,Agree,Agree,Neutral,Neutral,Head Scarf,Kurdish,Kurdish,Religious,3500,More than minimum wage,8.1605186,3001-5000TL,,Government affiliated,.382,7.1546001,.38600001,5.5275002,14253.082,9.5647287,3067,8.0284548,.56300002,No,Apartment,Very positive,More than minimum wage
645,032017,Post coup attempt,33,Tarsus,Mediterranean,Metropolitan,Other,Male,38,29-43 Years,University,University,5,3-5 Persons,Modern,Undecided,No,Yes,CHP,No,Yes,"Farmer, Agriculturalist, Husbandry",0,Lower Middle,No,No,No,No,No,No,No,No,No,No,No Change,Has to Borrow,Yes,Yes,Agree,Agree,Agree,Agree,"Hijab, Purdah",Turkish,Others,Religious,2500,More than minimum wage,7.8240461,2001-3000TL,New Middle Class,Government affiliated,.396,3.1252,.396,2.5632999,8538.2637,9.0523129,1556,7.3498735,.86699998,No,"Independent, traditional house",Negative,More than minimum wage
646,032017,Post coup attempt,1,Yüreğir,Mediterranean,Metropolitan,Other,Male,47,29-43 Years,University,University,5,3-5 Persons,,Undecided,No,Yes,MHP,No,Yes,Tradesman,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,No Change,Making Ends Meet,Yes,Yes,Agree,Agree,Agree,Agree,No head cover,Turkish,Others,Believer,,More than minimum wage,,,,Government affiliated,.396,3.3,.396,2.5632999,7735.1973,8.953536,1446,7.2765565,.65200001,No,"Independent, traditional house",Negative,More than minimum wage
647,032017,Post coup attempt,34,Kartal,Istanbul,Metropolitan,Other,Female,58,44+ Years,Primary School,Below High School,2,1-2 Persons,Traditional Conservative,,,,CHP,No,Yes,Housewife,0,Poor,No,No,No,No,No,No,No,No,No,No,Decrease,Has to Borrow,Yes,Yes,Completely Agree,Completely Agree,Agree,Agree,Head Scarf,Turkish,Others,Religious,1000,Upto minimum wage,6.9077554,701-1200TL,Lower Middle Class,Government affiliated,.39700001,10,.39700001,9.9457998,17827.424,9.7884932,3403,8.1324129,.226,No,Apartment,Negative,Upto minimum wage
648,032017,Post coup attempt,35,Menemen,Aegean,Town,Other,Female,37,29-43 Years,Secondary School,Below High School,5,3-5 Persons,Religious Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Housewife,0,,No,No,No,No,No,No,No,No,No,No,Decrease,Making Ends Meet,No,No,Completely Disagree,Completely Disagree,Completely Disagree,Completely Disagree,"Hijab, Purdah",Kurdish,Kurdish,Religious,1700,More than minimum wage,7.4383836,1201-2000TL,New Middle Class,Government affiliated,.38499999,5.6837001,.36300001,3.7437999,12343.741,9.4209042,1895,7.5469742,.442,No,,Very positive,More than minimum wage
649,032017,Post coup attempt,58,Merkez,Central Anatolia,Town,Other,Male,28,18-28 Years,University,University,3,3-5 Persons,Modern,MHP,No,Yes,MHP,No,Yes,Civil Servant,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,Increase,Saving Money,Yes,No,Neutral,Neutral,Disagree,Disagree,,Turkish,Others,Religious,4500,More than minimum wage,8.4118328,3001-5000TL,Upper Class,Government affiliated,.35800001,1.964,.34099999,1.7397,7362.4536,8.9041481,1345,7.2041492,2.164,No,Apartment,Positive,More than minimum wage
650,032017,Post coup attempt,6,Gölbaşi,West Anatolia,Metropolitan,Other,Male,21,18-28 Years,High School,High School,5,3-5 Persons,Modern,Non-voter,No,No,HDP,No,Yes,Student,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,,Has to Borrow,Yes,Yes,Completely Disagree,Agree,Disagree,Neutral,,Kurdish,Kurdish,Believer,3000,More than minimum wage,8.0063677,2001-3000TL,New Middle Class,Opposition affiliated,.382,7.1546001,.38600001,5.5275002,14253.082,9.5647287,3067,8.0284548,.56300002,No,Apartment,Negative,More than minimum wage
651,032017,Post coup attempt,26,Tepebaşi,East Marmara,Metropolitan,Other,Male,22,18-28 Years,High School,High School,2,1-2 Persons,Modern,Undecided,No,Yes,CHP,No,Yes,Student,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,No Change,Barely Makings Ends Meet,Yes,Yes,Neutral,Agree,Disagree,Agree,,Turkish,Others,Believer,1100,Upto minimum wage,7.0030656,701-1200TL,Lower Middle Class,,.354,4.3188,.33899999,3.8292,11139.148,9.3182211,784,6.6644092,.91000003,No,Apartment,Negative,Upto minimum wage
652,032017,Post coup attempt,1,Seyhan,Mediterranean,Metropolitan,Other,Female,35,29-43 Years,Secondary School,Below High School,5,3-5 Persons,Modern,Undecided,No,Yes,MHP,No,Yes,Housewife,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,No Change,Making Ends Meet,Yes,Yes,Agree,Agree,Agree,Neutral,No head cover,Turkish,Others,Religious,1400,More than minimum wage,7.2442274,1201-2000TL,Lower Class,,.396,3.3,.396,2.5632999,7735.1973,8.953536,1446,7.2765565,.65200001,No,Gecekondu / Unplastered Apartment,Negative,Upto minimum wage
653,032017,Post coup attempt,58,Şarkişla,Central Anatolia,Town,Other,Female,32,18-28 Years,University,University,4,3-5 Persons,Modern,CHP,No,Yes,CHP,No,Yes,Civil Servant,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,No Change,Saving Money,Yes,Yes,Agree,Completely Agree,Agree,Completely Agree,No head cover,Turkish,Others,Believer,5200,More than minimum wage,8.5564137,Higher than 5001TL,Upper Class,Government affiliated,.35800001,1.964,.34099999,1.7397,7362.4536,8.9041481,1345,7.2041492,2.164,No,Apartment,Negative,More than minimum wage
654,032017,Post coup attempt,6,Etimesgut,West Anatolia,Metropolitan,Other,Female,32,18-28 Years,Secondary School,Below High School,5,3-5 Persons,Religious Conservative,Non-voter,No,No,MHP,No,Yes,Housewife,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,No Change,Making Ends Meet,Yes,Yes,Neutral,Neutral,Neutral,Agree,Head Scarf,Turkish,Others,Religious,3000,More than minimum wage,8.0063677,2001-3000TL,Lower Middle Class,,.382,7.1546001,.38600001,5.5275002,14253.082,9.5647287,3067,8.0284548,.56300002,No,Apartment,Negative,More than minimum wage
655,032017,Post coup attempt,6,Gölbaşi,West Anatolia,Metropolitan,Other,Female,25,18-28 Years,Secondary School,Below High School,3,3-5 Persons,Traditional Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Housewife,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,,Has to Borrow,Yes,Yes,Agree,Agree,Disagree,Disagree,No head cover,Turkish,Others,Religious,1400,More than minimum wage,7.2442274,1201-2000TL,Lower Middle Class,Government affiliated,.382,7.1546001,.38600001,5.5275002,14253.082,9.5647287,3067,8.0284548,.56300002,No,,Negative,Upto minimum wage
656,032017,Post coup attempt,38,Kocasinan,Central Anatolia,Metropolitan,Other,Male,34,29-43 Years,High School,High School,5,3-5 Persons,Religious Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Worker,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,Decrease,Has to Borrow,Yes,Yes,Neutral,Disagree,Completely Disagree,Neutral,Head Scarf,Turkish,Others,Religious,2000,More than minimum wage,7.6009026,1201-2000TL,Lower Middle Class,Government affiliated,.35800001,3.2972,.34099999,1.7397,9052.7256,9.1108208,1361,7.2159748,.98799998,No,"Independent, traditional house",Negative,More than minimum wage
657,032017,Post coup attempt,43,Simav,Aegean,Rural,Rural,Male,31,18-28 Years,High School,High School,2,1-2 Persons,Traditional Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Tradesman,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,Decrease,Making Ends Meet,No,No,Disagree,Disagree,Disagree,Disagree,Head Scarf,Turkish,Others,Religious,2700,More than minimum wage,7.9010072,2001-3000TL,Upper Class,Opposition affiliated,.354,2.3722,.36300001,3.7437999,7803.9438,8.9623842,1224,7.1098795,2.1389999,No,"Independent, traditional house",Very positive,More than minimum wage
658,032017,Post coup attempt,34,Bağcilar,Istanbul,Metropolitan,Other,Female,45,29-43 Years,Secondary School,Below High School,5,3-5 Persons,Modern,Undecided,No,Yes,AKP,Yes,Yes,Housewife,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,,Making Ends Meet,Yes,Yes,Completely Agree,Completely Agree,Neutral,Completely Agree,No head cover,Turkish,Others,Religious,2000,More than minimum wage,7.6009026,1201-2000TL,Lower Middle Class,Opposition affiliated,.39700001,10,.39700001,9.9457998,17827.424,9.7884932,3403,8.1324129,.226,No,Apartment,Negative,More than minimum wage
659,032017,Post coup attempt,63,Haliliye,Southeast Anatolia,Metropolitan,Other,Male,62,44+ Years,High School,High School,10,More than 9 Persons,Traditional Conservative,HDP,No,Yes,HDP,No,Yes,Retired,0,Poor,No,No,No,No,No,No,No,No,No,No,No Change,Has to Borrow,Yes,Yes,Agree,Agree,Neutral,Neutral,,Kurdish,Kurdish,Religious,2550,More than minimum wage,7.8438487,2001-3000TL,Lower Class,Government affiliated,.41999999,.1666,.38,.1532,3887.9856,8.2656469,1994,7.597898,1.0039999,Yes,Apartment,Negative,More than minimum wage
660,032017,Post coup attempt,26,Tepebaşi,East Marmara,Metropolitan,Other,Male,27,18-28 Years,High School,High School,2,1-2 Persons,Modern,Undecided,No,Yes,Did not vote,No,No,"Working, Other",0,Lower Middle,No,No,No,No,No,No,No,No,No,No,No Change,Making Ends Meet,Yes,Yes,Neutral,Agree,Neutral,Agree,,Turkish,Others,Believer,1400,More than minimum wage,7.2442274,1201-2000TL,Lower Middle Class,,.354,4.3188,.33899999,3.8292,11139.148,9.3182211,784,6.6644092,.91000003,No,Apartment,Negative,Upto minimum wage
661,032017,Post coup attempt,59,Çorlu,West Marmara,Metropolitan,Other,Female,26,18-28 Years,High School,High School,3,3-5 Persons,Traditional Conservative,Undecided,No,Yes,HDP,No,Yes,Private Sector,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,Decrease,Making Ends Meet,Yes,No,Agree,Disagree,Agree,Agree,No head cover,Kurdish,Kurdish,Believer,2500,More than minimum wage,7.8240461,2001-3000TL,Lower Middle Class,Opposition affiliated,.32800001,3.8917999,.35299999,2.8722999,13013.775,9.4737635,531,6.2747622,.528,Yes,Apartment,Positive,More than minimum wage
662,032017,Post coup attempt,64,Merkez,Aegean,Town,Other,Male,28,18-28 Years,High School,High School,3,3-5 Persons,Traditional Conservative,MHP,No,Yes,MHP,No,Yes,Worker,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,,Making Ends Meet,No,No,Disagree,Disagree,Neutral,Neutral,No head cover,Turkish,Others,Religious,2100,More than minimum wage,7.6496925,2001-3000TL,Lower Middle Class,Government affiliated,.354,2.9727001,.36300001,3.7437999,8630.4082,9.0630474,556,6.3207684,1.523,No,Apartment,Very positive,More than minimum wage
663,032017,Post coup attempt,34,Üsküdar,Istanbul,Metropolitan,Other,Male,28,18-28 Years,Graduate,University,3,3-5 Persons,Modern,Non-voter,No,No,MHP,No,Yes,Private Sector,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,No Change,Saving Money,Yes,Yes,Agree,Agree,Agree,Agree,,Turkish,Others,Religious,6000,More than minimum wage,8.6995144,Higher than 5001TL,Upper Class,Government affiliated,.39700001,10,.39700001,9.9457998,17827.424,9.7884932,3403,8.1324129,.226,No,Apartment,Negative,More than minimum wage
664,032017,Post coup attempt,35,Urla,Aegean,Town,Other,Male,33,29-43 Years,High School,High School,,,Modern,MHP,No,Yes,AKP,Yes,Yes,Worker,0,Poor,No,No,No,No,No,No,No,No,No,No,No Change,Making Ends Meet,Yes,Yes,Agree,Agree,Agree,Agree,No head cover,Turkish,Others,Religious,2000,More than minimum wage,7.6009026,1201-2000TL,,Government affiliated,.38499999,5.6837001,.36300001,3.7437999,12343.741,9.4209042,1895,7.5469742,.442,No,"Independent, traditional house",Negative,More than minimum wage
665,032017,Post coup attempt,35,Urla,Aegean,Town,Other,Female,50,44+ Years,High School,High School,5,3-5 Persons,Modern,CHP,No,Yes,CHP,No,Yes,Retired,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,No Change,Making Ends Meet,Yes,Yes,Agree,Agree,Agree,Agree,No head cover,Turkish,Others,Religious,2500,More than minimum wage,7.8240461,2001-3000TL,Lower Middle Class,Opposition affiliated,.38499999,5.6837001,.36300001,3.7437999,12343.741,9.4209042,1895,7.5469742,.442,No,"Independent, traditional house",Negative,More than minimum wage
666,032017,Post coup attempt,38,Kocasinan,Central Anatolia,Metropolitan,Other,Male,60,44+ Years,Secondary School,Below High School,7,6-8 Persons,Modern,MHP,No,Yes,MHP,No,Yes,Retired,0,Poor,No,No,No,No,No,No,No,No,No,No,Decrease,Making Ends Meet,Yes,Yes,Agree,Agree,Agree,Agree,Head Scarf,Turkish,Others,Religious,1400,More than minimum wage,7.2442274,1201-2000TL,Lower Class,Government affiliated,.35800001,3.2972,.34099999,1.7397,9052.7256,9.1108208,1361,7.2159748,.98799998,No,Apartment,Negative,Upto minimum wage
667,032017,Post coup attempt,25,Palandöken,Northeast Anatolia,Town,Other,Female,28,18-28 Years,Primary School,Below High School,5,3-5 Persons,Traditional Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Housewife,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,,Making Ends Meet,No,Yes,Completely Agree,Completely Agree,Neutral,Neutral,Head Scarf,Turkish,Others,Religious,1200,Upto minimum wage,7.0900769,701-1200TL,Lower Class,,.352,1.6044,.38,.084299996,6337.791,8.7542858,1594,7.374002,2.096,No,Apartment,Positive,Upto minimum wage
668,032017,Post coup attempt,26,Odunpazari,East Marmara,Metropolitan,Other,Female,27,18-28 Years,Primary School,Below High School,3,3-5 Persons,Traditional Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Housewife,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,Decrease,Making Ends Meet,No,No,Agree,Agree,Disagree,Disagree,No head cover,Turkish,Others,Believer,1000,Upto minimum wage,6.9077554,701-1200TL,Lower Middle Class,Opposition affiliated,.354,4.3188,.33899999,3.8292,11139.148,9.3182211,784,6.6644092,.91000003,No,Apartment,Very positive,Upto minimum wage
669,032017,Post coup attempt,44,Akçadağ,Mideast Anatolia,Town,Other,Female,38,29-43 Years,Primary School,Below High School,7,6-8 Persons,Traditional Conservative,Undecided,No,Yes,MHP,No,Yes,Housewife,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,No Change,Making Ends Meet,No,No,Neutral,Neutral,Neutral,Neutral,Head Scarf,Turkish,Others,Religious,1500,More than minimum wage,7.3132205,1201-2000TL,Lower Class,,.359,2.2054,.38,0,6179.6602,8.7290182,968,6.8752322,1.23,Yes,"Independent, traditional house",Very positive,More than minimum wage
670,032017,Post coup attempt,55,Çarşamba,Western Black Sea,Town,Other,Female,27,18-28 Years,High School,High School,2,1-2 Persons,Traditional Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Housewife,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,Increase,Making Ends Meet,No,Yes,Disagree,Disagree,Disagree,Disagree,No head cover,Turkish,Others,Believer,2000,More than minimum wage,7.6009026,1201-2000TL,Upper Class,Government affiliated,.35800001,2.6064999,.34400001,1.7174,7475.147,8.9193392,2712,7.9054418,2.0650001,No,Apartment,Positive,More than minimum wage
671,032017,Post coup attempt,34,Esenyurt,Istanbul,Metropolitan,Other,Female,24,18-28 Years,Primary School,Below High School,6,6-8 Persons,Religious Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Housewife,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,,Saving Money,No,No,Completely Disagree,Disagree,Disagree,Disagree,Head Scarf,Turkish,Others,Religious,6000,More than minimum wage,8.6995144,Higher than 5001TL,Upper Class,Government affiliated,.39700001,10,.39700001,9.9457998,17827.424,9.7884932,3403,8.1324129,.226,No,Apartment,Very positive,More than minimum wage
672,032017,Post coup attempt,35,Çiğli,Aegean,Metropolitan,Other,Female,30,18-28 Years,High School,High School,3,3-5 Persons,,AKP,Yes,Yes,AKP,Yes,Yes,Worker,0,,No,No,No,No,No,No,No,No,No,No,Decrease,Making Ends Meet,No,,Disagree,Disagree,Completely Disagree,Completely Disagree,No head cover,Turkish,Others,Religious,3000,More than minimum wage,8.0063677,2001-3000TL,Upper Class,Opposition affiliated,.38499999,5.6837001,.36300001,3.7437999,12343.741,9.4209042,1895,7.5469742,.442,No,Apartment,,More than minimum wage
673,032017,Post coup attempt,10,Bandirma,West Marmara,Rural,Rural,Male,36,29-43 Years,High School,High School,5,3-5 Persons,Traditional Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Worker,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,,Making Ends Meet,No,No,Disagree,Disagree,Neutral,Neutral,Head Scarf,Turkish,Others,Religious,2250,More than minimum wage,7.7186856,2001-3000TL,Lower Middle Class,Opposition affiliated,.373,3.1468999,.35299999,2.8722999,8805.833,9.0831699,1676,7.4241652,1.391,Yes,"Independent, traditional house",Very positive,More than minimum wage
674,032017,Post coup attempt,34,Küçükçekmece,Istanbul,Metropolitan,Other,Male,37,29-43 Years,University,University,3,3-5 Persons,Modern,AKP,Yes,Yes,AKP,Yes,Yes,Self-employed,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,No Change,Saving Money,No,No,Disagree,Disagree,Disagree,Disagree,No head cover,Turkish,Others,Believer,3000,More than minimum wage,8.0063677,2001-3000TL,Upper Class,,.39700001,10,.39700001,9.9457998,17827.424,9.7884932,3403,8.1324129,.226,No,Apartment,Very positive,More than minimum wage
675,032017,Post coup attempt,20,Sarayköy,Aegean,Town,Other,Male,33,29-43 Years,High School,High School,4,3-5 Persons,Traditional Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Civil Servant,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,,Saving Money,No,No,Disagree,Disagree,Disagree,Disagree,Head Scarf,Turkish,Others,Religious,3500,More than minimum wage,8.1605186,3001-5000TL,New Middle Class,Government affiliated,.31799999,3.8864,.36300001,3.7437999,9797.4893,9.1898813,1214,7.101676,1.191,Yes,Apartment,Very positive,More than minimum wage
676,032017,Post coup attempt,43,Simav,Aegean,Rural,Rural,Male,40,29-43 Years,University,University,3,3-5 Persons,Religious Conservative,AKP,Yes,Yes,AKP,Yes,Yes,"Farmer, Agriculturalist, Husbandry",0,Lower Middle,No,No,No,No,No,No,No,No,No,No,Decrease,Making Ends Meet,No,No,Neutral,Neutral,Neutral,Neutral,Head Scarf,Turkish,Others,Religious,2000,More than minimum wage,7.6009026,1201-2000TL,Lower Middle Class,Government affiliated,.354,2.3722,.36300001,3.7437999,7803.9438,8.9623842,1224,7.1098795,2.1389999,No,"Independent, traditional house",Very positive,More than minimum wage
677,032017,Post coup attempt,43,Simav,Aegean,Rural,Rural,Male,38,29-43 Years,High School,High School,4,3-5 Persons,Modern,AKP,Yes,Yes,AKP,Yes,Yes,Tradesman,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,Decrease,Making Ends Meet,No,No,Disagree,Disagree,Disagree,Disagree,Head Scarf,Turkish,Others,Religious,2000,More than minimum wage,7.6009026,1201-2000TL,Lower Middle Class,Government affiliated,.354,2.3722,.36300001,3.7437999,7803.9438,8.9623842,1224,7.1098795,2.1389999,No,"Independent, traditional house",Very positive,More than minimum wage
678,032017,Post coup attempt,27,Islahiye,Southeast Anatolia,Town,Other,Male,40,29-43 Years,Primary School,Below High School,5,3-5 Persons,Traditional Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Worker,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,Decrease,Making Ends Meet,No,No,Neutral,Completely Disagree,Neutral,Neutral,Head Scarf,Turkish,Others,Religious,2500,More than minimum wage,7.8240461,2001-3000TL,New Middle Class,Opposition affiliated,.31900001,2.793,.38,.1532,7656.375,8.9432936,1027,6.9343972,.51200002,No,"Independent, traditional house",Very positive,More than minimum wage
679,032017,Post coup attempt,34,Bağcilar,Istanbul,Metropolitan,Other,Male,69,44+ Years,Primary School,Below High School,2,1-2 Persons,Religious Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Retired,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,Decrease,Saving Money,No,No,Completely Disagree,Completely Disagree,Completely Disagree,Completely Disagree,Head Scarf,Turkish,Others,Religious,3000,More than minimum wage,8.0063677,2001-3000TL,Upper Class,Government affiliated,.39700001,10,.39700001,9.9457998,17827.424,9.7884932,3403,8.1324129,.226,No,Apartment,Very positive,More than minimum wage
680,032017,Post coup attempt,7,Kumluca,Mediterranean,Town,Other,Male,63,44+ Years,High School,High School,3,3-5 Persons,Traditional Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Retired,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,Decrease,Saving Money,No,No,Disagree,Disagree,Neutral,Neutral,Head Scarf,Turkish,Others,Religious,3000,More than minimum wage,8.0063677,2001-3000TL,Upper Class,Government affiliated,.373,4.8881001,.396,2.5632999,14253.082,9.5647287,2243,7.7155695,.94800001,No,Apartment,Very positive,More than minimum wage
681,032017,Post coup attempt,43,Merkez,Aegean,Town,Other,Male,23,18-28 Years,Secondary School,Below High School,4,3-5 Persons,Religious Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Student,0,Poor,No,No,No,No,No,No,No,No,No,No,Decrease,Barely Makings Ends Meet,Yes,Yes,Agree,Completely Disagree,Completely Disagree,Completely Disagree,,Turkish,Others,Religious,1000,Upto minimum wage,6.9077554,701-1200TL,Lower Class,Opposition affiliated,.354,2.3722,.36300001,3.7437999,7803.9438,8.9623842,1224,7.1098795,2.1389999,No,,Negative,Upto minimum wage
682,032017,Post coup attempt,35,Çiğli,Aegean,Metropolitan,Other,Male,37,29-43 Years,High School,High School,5,3-5 Persons,Traditional Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Private Sector,0,,No,No,No,No,No,No,No,No,No,No,Decrease,Saving Money,No,No,Completely Disagree,Neutral,Disagree,Disagree,Head Scarf,Turkish,Others,Believer,3000,More than minimum wage,8.0063677,2001-3000TL,New Middle Class,Government affiliated,.38499999,5.6837001,.36300001,3.7437999,12343.741,9.4209042,1895,7.5469742,.442,No,,Very positive,More than minimum wage
683,032017,Post coup attempt,7,Kepez,Mediterranean,Metropolitan,Other,Male,23,18-28 Years,University,University,4,3-5 Persons,Traditional Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Unemployed,1,Upper Middle,No,No,No,No,No,No,No,No,No,No,Decrease,Making Ends Meet,No,No,Neutral,Completely Disagree,Completely Disagree,Completely Disagree,,Turkish,Others,Pious,32500,More than minimum wage,10.388995,Higher than 5001TL,Upper Class,,.373,4.8881001,.396,2.5632999,14253.082,9.5647287,2243,7.7155695,.94800001,No,Apartment,Very positive,More than minimum wage
684,032017,Post coup attempt,35,Ödemiş,Aegean,Town,Other,Male,26,18-28 Years,Secondary School,Below High School,,,Traditional Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Civil Servant,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,Decrease,Making Ends Meet,No,No,Disagree,Disagree,Disagree,Disagree,No head cover,Zaza,Others,Religious,,More than minimum wage,,,,Government affiliated,.38499999,5.6837001,.36300001,3.7437999,12343.741,9.4209042,1895,7.5469742,.442,No,Apartment,Very positive,More than minimum wage
685,032017,Post coup attempt,35,Ödemiş,Aegean,Town,Other,Male,40,29-43 Years,Primary School,Below High School,4,3-5 Persons,Traditional Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Worker,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,Increase,Saving Money,No,No,Neutral,Neutral,Completely Disagree,Disagree,Head Scarf,Turkish,Others,Religious,500,Upto minimum wage,6.2146082,Less than 700TL,Lower Class,,.38499999,5.6837001,.36300001,3.7437999,12343.741,9.4209042,1895,7.5469742,.442,No,Apartment,Very positive,Upto minimum wage
686,032017,Post coup attempt,31,Antakya,Mediterranean,Town,Other,Male,44,29-43 Years,High School,High School,4,3-5 Persons,Religious Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Civil Servant,0,Lower Middle,No,No,No,No,No,No,No,Yes,No,Yes,Decrease,Making Ends Meet,No,No,Disagree,Disagree,Disagree,Disagree,Head Scarf,Turkish,Others,Religious,3500,More than minimum wage,8.1605186,3001-5000TL,New Middle Class,Government affiliated,.38600001,2.1177001,.396,2.5632999,7084.3364,8.8656416,1073,6.9782138,.68099999,Yes,Apartment,Very positive,More than minimum wage
687,032017,Post coup attempt,27,Şehitkamil,Southeast Anatolia,Metropolitan,Other,Male,23,18-28 Years,University,University,4,3-5 Persons,Traditional Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Worker,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,Decrease,Barely Makings Ends Meet,Yes,Yes,Disagree,Neutral,Disagree,Disagree,Head Scarf,Turkish,Others,Religious,3000,More than minimum wage,8.0063677,2001-3000TL,Lower Middle Class,,.31900001,2.793,.38,.1532,7656.375,8.9432936,1027,6.9343972,.51200002,No,Apartment,Negative,More than minimum wage
688,032017,Post coup attempt,31,Antakya,Mediterranean,Town,Other,Male,44,29-43 Years,Secondary School,Below High School,4,3-5 Persons,Religious Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Tradesman,0,Lower Middle,No,No,No,No,Yes,No,No,Yes,No,Yes,Decrease,Making Ends Meet,No,No,Completely Disagree,Completely Disagree,Completely Disagree,Completely Disagree,Head Scarf,Turkish,Others,Religious,2000,More than minimum wage,7.6009026,1201-2000TL,New Middle Class,Government affiliated,.38600001,2.1177001,.396,2.5632999,7084.3364,8.8656416,1073,6.9782138,.68099999,Yes,Apartment,Very positive,More than minimum wage
